hydra_id,provider,display_name,model_id,context_length,input_cost,output_cost,release_date
hydra-or-0b464dce,Cognitivecomputations,Uncensored,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,32768,0.0,0.0,2025-07-10
hydra-or-9282d847,Cohere,North Mini Code,cohere/north-mini-code:free,256000,0.0,0.0,2026-06-18
hydra-or-6f0343c2,Google,Gemma 4 26B A4B,google/gemma-4-26b-a4b-it:free,262144,0.0,0.0,2026-04-03
hydra-or-f8b3da0d,Google,Gemma 4 31B,google/gemma-4-31b-it:free,262144,0.0,0.0,2026-04-03
hydra-or-3c51f8f4,Google,Lyria 3 Clip Preview,google/lyria-3-clip-preview,1048576,0.0,0.0,2026-03-31
hydra-or-d1194e06,Google,Lyria 3 Pro Preview,google/lyria-3-pro-preview,1048576,0.0,0.0,2026-03-31
hydra-or-463f7056,Meta-Llama,Llama 3.2 3B Instruct,meta-llama/llama-3.2-3b-instruct:free,131072,0.0,0.0,2024-09-25
hydra-or-bf4eef56,Meta-Llama,Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct:free,131072,0.0,0.0,2024-12-07
hydra-or-a7624919,Nousresearch,Hermes 3 405B Instruct,nousresearch/hermes-3-llama-3.1-405b:free,131072,0.0,0.0,2024-08-16
hydra-or-227c41cf,Nvidia,Nemotron 3 Nano 30B A3B,nvidia/nemotron-3-nano-30b-a3b:free,256000,0.0,0.0,2025-12-15
hydra-or-0c33da05,Nvidia,Nemotron 3 Nano Omni,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,256000,0.0,0.0,2026-04-29
hydra-or-0436b9db,Nvidia,Nemotron 3 Super,nvidia/nemotron-3-super-120b-a12b:free,1000000,0.0,0.0,2026-03-12
hydra-or-08c7a7c7,Nvidia,Nemotron 3 Ultra,nvidia/nemotron-3-ultra-550b-a55b:free,1000000,0.0,0.0,2026-06-04
hydra-or-1f8c4734,Nvidia,Nemotron 3.5 Content Safety,nvidia/nemotron-3.5-content-safety:free,128000,0.0,0.0,2026-06-04
hydra-or-4c2329ee,Nvidia,Nemotron Nano 12B 2 VL,nvidia/nemotron-nano-12b-v2-vl:free,128000,0.0,0.0,2025-10-29
hydra-or-db76cae1,Nvidia,Nemotron Nano 9B V2,nvidia/nemotron-nano-9b-v2:free,128000,0.0,0.0,2025-09-06
hydra-or-dab560b5,Openai,gpt-oss-20b,openai/gpt-oss-20b:free,131072,0.0,0.0,2025-08-06
hydra-or-3b904073,Openrouter,Free Models Router,openrouter/free,200000,0.0,0.0,2026-02-01
hydra-or-856c3634,Poolside,Laguna M.1,poolside/laguna-m.1:free,262144,0.0,0.0,2026-04-28
hydra-or-639c7bbc,Poolside,Laguna XS 2.1,poolside/laguna-xs-2.1:free,262144,0.0,0.0,2026-07-02
hydra-or-2ae8a99d,Qwen,Qwen3 Coder 480B A35B,qwen/qwen3-coder:free,1048576,0.0,0.0,2025-07-23
hydra-or-57f0825a,Qwen,Qwen3 Next 80B A3B Instruct,qwen/qwen3-next-80b-a3b-instruct:free,262144,0.0,0.0,2025-09-12
hydra-or-0f17340e,Tencent,Hy3,tencent/hy3:free,262144,0.0,0.0,2026-07-06
